datetime,open,high,low,close,volume,res
2019-08-08 10:00:00,1.46528173,2.11172955,1.46528173,1.9234658,205053709,1d
2019-08-14 10:00:00,1.9234658,2.04141418,1.9234658,2.00965885,21158450,1d
2019-08-15 10:00:00,2.00965885,2.03007299,1.95068466,1.96883056,10548866,1d
2019-08-18 10:00:00,1.96883056,2.01419532,1.96883056,1.99151294,4805514,1d
2019-08-19 10:00:00,1.99151294,2.01419532,1.96202585,1.99151294,10723081,1d
2019-08-20 10:00:00,1.99151294,2.0187318,1.97790351,1.98697647,10422759,1d
2019-08-21 10:00:00,1.98697647,2.05275537,1.98697647,2.03460946,4232518,1d
2019-08-22 10:00:00,2.03460946,2.04141418,1.99604942,2.01419532,10752870,1d
2019-08-25 10:00:00,2.01419532,2.0187318,1.95522113,1.98924493,4292045,1d
2019-08-26 10:00:00,1.98924493,2.0187318,1.94161171,1.98243999,941585,1d
2019-08-27 10:00:00,1.98243999,2.12987546,1.98243999,2.04141418,19498721,1d
2019-08-28 10:00:00,2.04141418,2.20019084,2.04141418,2.14121665,13692522,1d
2019-08-29 10:00:00,2.14121665,2.27050621,2.14121665,2.24555559,34975487,1d
2019-09-01 10:00:00,2.24555559,2.25236031,2.20472731,2.23194617,1905699,1d
2019-09-02 10:00:00,2.23194617,2.26823797,2.22287322,2.26596974,15006057,1d
2019-09-03 10:00:00,2.26596974,2.2818474,2.2342144,2.26823797,8538623,1d
2019-09-04 10:00:00,2.26823797,2.37484516,2.26823797,2.30679802,10842945,1d
2019-09-05 10:00:00,2.30679802,2.33628511,2.28865212,2.32267569,22182835,1d
2019-09-08 10:00:00,2.32267569,2.3476263,2.26823797,2.3294804,3464790,1d
2019-09-09 10:00:00,2.3294804,2.3294804,2.26823797,2.2818474,1883611,1d
2019-09-10 10:00:00,2.2818474,2.30906626,2.23875088,2.26823797,5571271,1d
2019-09-11 10:00:00,2.26823797,2.27050621,2.22287322,2.2637015,4980103,1d
2019-09-12 10:00:00,2.2637015,2.2637015,2.14121665,2.18431317,1348694,1d
2019-09-15 10:00:00,2.18431317,2.21153203,2.17297198,2.18431317,518406,1d
2019-09-16 10:00:00,2.18431317,2.20699555,2.12080251,2.18204493,519442,1d
2019-09-17 10:00:00,2.18204493,2.19565436,2.04141418,2.11626603,2061366,1d
2019-09-18 10:00:00,2.11626603,2.15482608,2.08677894,2.15255784,359490,1d
2019-09-19 10:00:00,2.15255784,2.23194617,2.15255784,2.20926379,3314890,1d
2019-09-22 10:00:00,2.20926379,2.20926379,1.98924493,2.03234123,10955340,1d
2019-09-23 10:00:00,2.03234123,2.09812013,1.92800228,2.03914594,51909998,1d
2019-09-24 10:00:00,2.03914594,2.06636479,1.87129633,1.91212461,1864076,1d
2019-09-25 10:00:00,1.91212461,2.05048713,1.91212461,2.00739061,3578725,1d
2019-09-26 10:00:00,2.00739061,2.07316951,1.98470823,2.03914594,16999627,1d
2019-09-29 10:00:00,2.03914594,2.21833674,2.03914594,2.11853427,1679285,1d
2019-09-30 10:00:00,2.11853427,2.15482608,2.07997422,2.10946132,2259414,1d
2019-10-01 10:00:00,2.10946132,2.10946132,2.08224246,2.09585189,945950,1d
2019-10-02 10:00:00,2.09585189,2.12533898,2.04368242,2.05729184,491967,1d
2019-10-03 10:00:00,2.05729184,2.10946132,2.05729184,2.09131541,869485,1d
2019-10-07 10:00:00,2.09131541,2.12760722,2.06409656,2.08224246,353631,1d
2019-10-08 10:00:00,2.08224246,2.10265683,2.04595088,2.09131541,765126,1d
2019-10-09 10:00:00,2.09131541,2.09131541,2.04141418,2.04141418,599778,1d
2019-10-10 10:00:00,2.04141418,2.06182832,2.0187318,2.03914594,156376,1d
2019-10-13 10:00:00,2.03914594,2.04141418,1.99604942,2.02553651,32192,1d
