datetime,open,high,low,close,volume,res
1802-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1803-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1804-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1805-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1808-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1809-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1810-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1811-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1813-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1814-01-03 22:56:02,1.45,1.45,1.45,1.45,0,1d
1815-01-03 22:56:02,1.48,1.48,1.48,1.48,0,1d
1816-01-03 22:56:02,1.32,1.32,1.32,1.32,0,1d
1819-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1820-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1821-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1822-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1825-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1826-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1827-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1828-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1830-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1831-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1832-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1833-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1836-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1837-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1838-01-03 22:56:02,1.35,1.35,1.35,1.35,0,1d
1839-01-03 22:56:02,1.3,1.3,1.3,1.3,0,1d
1841-01-03 22:56:02,1.3,1.3,1.3,1.3,0,1d
1842-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1843-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1844-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1847-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1848-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1849-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1850-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1853-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1854-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1855-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1856-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1858-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1859-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1860-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1861-01-03 22:56:02,1.29,1.29,1.29,1.29,0,1d
1864-01-03 22:56:02,2.94,2.94,2.94,2.94,0,1d
1865-01-03 22:56:02,1.89,1.89,1.89,1.89,0,1d
1866-01-03 22:56:02,1.77,1.77,1.77,1.77,0,1d
1867-01-03 22:56:02,1.74,1.74,1.74,1.74,0,1d
1869-01-03 22:56:02,1.57,1.57,1.57,1.57,0,1d
1870-01-03 22:56:02,1.43,1.43,1.43,1.43,0,1d
1871-01-03 22:56:02,1.41,1.41,1.41,1.41,0,1d
1872-01-03 22:56:02,1.45,1.45,1.45,1.45,0,1d
1875-01-03 22:56:02,1.39,1.39,1.39,1.39,0,1d
1876-01-03 22:56:02,1.32,1.32,1.32,1.32,0,1d
1877-01-03 22:56:02,1.21,1.21,1.21,1.21,0,1d
1878-01-03 22:56:02,1.1,1.1,1.1,1.1,0,1d
1881-01-03 22:56:02,1.13,1.13,1.13,1.13,0,1d
1882-01-03 22:56:02,1.1,1.1,1.1,1.1,0,1d
1883-01-03 22:56:02,1.11,1.11,1.11,1.11,0,1d
1884-01-03 23:00:00,1.08,1.08,1.08,1.08,0,1d
1886-01-03 23:00:00,1.01,1.01,1.01,1.01,0,1d
1887-01-03 23:00:00,0.97,0.97,0.97,0.97,0,1d
1888-01-03 23:00:00,0.94,0.94,0.94,0.94,0,1d
1889-01-03 23:00:00,0.96,0.96,0.96,0.96,0,1d
1892-01-03 23:00:00,0.84,0.84,0.84,0.84,0,1d
1893-01-03 23:00:00,0.7,0.7,0.7,0.7,0,1d
1894-01-03 23:00:00,0.62,0.62,0.62,0.62,0,1d
1895-01-03 23:00:00,0.68,0.68,0.68,0.68,0,1d
1897-01-03 23:00:00,0.59,0.59,0.59,0.59,0,1d
1898-01-03 23:00:00,0.6,0.6,0.6,0.6,0,1d
1899-01-03 23:00:00,0.6,0.6,0.6,0.6,0,1d
1900-01-03 23:00:00,0.65,0.65,0.65,0.65,0,1d
1901-01-03 23:00:00,0.56,0.56,0.56,0.56,0,1d
1904-01-03 23:00:00,0.61,0.61,0.61,0.61,0,1d
1905-01-03 23:00:00,0.66,0.66,0.66,0.66,0,1d
1906-01-03 23:00:00,0.7,0.7,0.7,0.7,0,1d
1907-01-03 23:00:00,0.55,0.55,0.55,0.55,0,1d
1909-01-03 23:00:00,0.53,0.53,0.53,0.53,0,1d
1910-01-03 23:00:00,0.55,0.55,0.55,0.55,0,1d
1911-01-03 23:00:00,0.56,0.56,0.56,0.56,0,1d
1912-01-03 23:00:00,0.64,0.64,0.64,0.64,0,1d
1915-01-03 23:00:00,0.56,0.56,0.56,0.56,0,1d
1915-01-31 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-02-28 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-03-31 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-05-02 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-05-31 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-06-30 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-08-02 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-08-31 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-09-30 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-10-31 23:00:00,0.51,0.51,0.51,0.51,0,1d
1915-11-30 23:00:00,0.51,0.51,0.51,0.51,0,1d
1916-01-02 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-01-31 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-02-29 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-04-02 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-04-30 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-05-31 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-07-02 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-07-31 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-08-31 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-10-02 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-10-31 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-11-30 23:00:00,0.67,0.67,0.67,0.67,0,1d
1916-12-31 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-01-31 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-02-28 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-04-02 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-04-30 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-05-31 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-07-02 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-07-31 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-09-02 23:00:00,0.84,0.84,0.84,0.84,0,1d
1917-09-30 23:00:00,0.84,0.84,0.84,0.84,0,1d
