datetime,open,high,low,close,volume
2025-08-03 07:00:00,49.5,49.54,49.12,49.12,38223
2025-08-03 07:01:00,49.45,49.45,49.06,49.24,6048
2025-08-03 07:02:00,49.06,49.44,49.05,49.4,6806
2025-08-03 07:03:00,49.4,49.4,49.08,49.3,4032
2025-08-03 07:04:00,49.1,49.1,49.07,49.07,8060
2025-08-03 07:05:00,49.07,49.1,49.06,49.1,5502
2025-08-03 07:06:00,49.08,49.1,49.05,49.05,5006
2025-08-03 07:07:00,49.1,49.29,49.1,49.1,1035
2025-08-03 07:08:00,49.2,49.29,49.1,49.29,1774
2025-08-03 07:09:00,49.29,49.38,49.11,49.38,2185
2025-08-03 07:10:00,49.38,49.44,49.1,49.4,2127
2025-08-03 07:11:00,49.1,49.37,49.1,49.1,3620
2025-08-03 07:12:00,49.12,49.2,49.12,49.2,116
2025-08-03 07:13:00,49.2,49.2,49.11,49.11,983
2025-08-03 07:14:00,49.11,49.2,49.11,49.12,877
2025-08-03 07:15:00,49.19,49.2,49.12,49.13,1004
2025-08-03 07:16:00,49.15,49.15,49.13,49.13,2127
2025-08-03 07:17:00,49.13,49.13,49.13,49.13,1037
2025-08-03 07:18:00,49.13,49.14,49.12,49.14,717
2025-08-03 07:19:00,49.12,49.13,49.11,49.11,4696
2025-08-03 07:20:00,49.1,49.1,49.01,49.01,21973
2025-08-03 07:21:00,49.01,49.1,49.0,49.0,29014
2025-08-03 07:22:00,49.05,49.05,48.8,49.0,11789
2025-08-03 07:23:00,48.82,49.0,48.75,48.8,5585
2025-08-03 07:24:00,49.0,49.0,48.85,49.0,1185
2025-08-03 07:25:00,49.0,49.0,48.88,49.0,12091
2025-08-03 07:26:00,49.13,49.13,49.0,49.13,741
2025-08-03 07:27:00,49.0,49.13,48.9,49.11,267
2025-08-03 07:28:00,49.11,49.12,49.11,49.12,586
2025-08-03 07:29:00,49.03,49.12,49.03,49.03,221
2025-08-03 07:30:00,49.03,49.11,49.03,49.1,425
2025-08-03 07:31:00,49.11,49.11,49.07,49.07,1404
2025-08-03 07:32:00,49.07,49.1,49.0,49.0,24046
2025-08-03 07:33:00,49.0,49.0,48.92,49.0,1996
2025-08-03 07:34:00,49.0,49.0,48.81,49.0,7048
2025-08-03 07:35:00,49.0,49.0,48.91,49.0,5234
2025-08-03 07:36:00,48.99,48.99,48.92,48.99,1332
2025-08-03 07:37:00,48.99,49.0,48.92,49.0,2617
2025-08-03 07:38:00,49.0,49.0,48.92,48.92,201
2025-08-03 07:39:00,49.0,49.0,48.91,48.91,5845
2025-08-03 07:40:00,49.0,49.0,49.0,49.0,1464
2025-08-03 07:41:00,48.99,48.99,48.99,48.99,261
2025-08-03 07:42:00,48.99,48.99,48.99,48.99,400
2025-08-03 07:43:00,48.99,49.09,48.91,49.0,18927
2025-08-03 07:44:00,49.09,49.1,49.03,49.03,8396
2025-08-03 07:45:00,49.09,49.09,49.05,49.08,3235
2025-08-03 07:46:00,49.07,49.08,49.03,49.03,8442
2025-08-03 07:47:00,49.08,49.08,49.03,49.08,146
2025-08-03 07:48:00,49.08,49.08,49.08,49.08,595
2025-08-03 07:49:00,49.05,49.08,49.0,49.0,12048
2025-08-03 07:50:00,49.0,49.08,49.0,49.08,3369
2025-08-03 07:51:00,49.1,49.1,49.1,49.1,505
2025-08-03 07:52:00,49.1,49.1,49.1,49.1,69
2025-08-03 07:53:00,49.1,49.1,49.1,49.1,12
2025-08-03 07:54:00,49.08,49.1,49.0,49.1,1190
2025-08-03 07:55:00,49.09,49.09,49.09,49.09,46
2025-08-03 07:56:00,49.03,49.05,49.03,49.05,51
2025-08-03 07:57:00,49.05,49.05,49.03,49.03,68
2025-08-03 07:58:00,49.09,49.09,49.05,49.09,456
2025-08-03 07:59:00,49.09,49.1,49.09,49.1,1500
2025-08-03 08:00:00,49.1,49.2,49.06,49.1,5343
2025-08-03 08:01:00,49.19,49.2,49.07,49.07,2484
2025-08-03 08:02:00,49.1,49.1,49.07,49.1,5682
2025-08-03 08:03:00,49.07,49.1,49.0,49.09,38225
2025-08-03 08:04:00,49.0,49.09,49.0,49.09,206
2025-08-03 08:05:00,49.09,49.09,49.0,49.0,1099
2025-08-03 08:06:00,49.01,49.09,49.01,49.09,2280
2025-08-03 08:07:00,49.1,49.1,49.02,49.1,202
2025-08-03 08:08:00,49.1,49.15,49.08,49.08,117
2025-08-03 08:09:00,49.08,49.15,49.08,49.08,355
2025-08-03 08:10:00,49.08,49.15,49.08,49.15,8
2025-08-03 08:11:00,49.15,49.19,49.15,49.19,606
2025-08-03 08:12:00,49.19,49.2,49.14,49.2,1773
2025-08-03 08:13:00,49.2,49.22,49.2,49.2,1944
2025-08-03 08:14:00,49.2,49.2,49.2,49.2,260
2025-08-03 08:15:00,49.17,49.17,49.1,49.1,5300
2025-08-03 08:16:00,49.1,49.19,49.1,49.1,3080
2025-08-03 08:17:00,49.19,49.19,49.11,49.19,1323
2025-08-03 08:18:00,49.19,49.19,49.11,49.18,637
2025-08-03 08:19:00,49.18,49.18,49.11,49.11,1273
2025-08-03 08:20:00,49.17,49.17,49.04,49.04,1750
2025-08-03 08:21:00,49.05,49.16,49.05,49.16,717
2025-08-03 08:22:00,49.05,49.16,49.04,49.06,1647
2025-08-03 08:23:00,49.06,49.16,49.06,49.16,258
2025-08-03 08:24:00,49.1,49.1,49.1,49.1,494
2025-08-03 08:25:00,49.16,49.19,49.16,49.19,10304
2025-08-03 08:26:00,49.15,49.15,49.15,49.15,36
2025-08-03 08:27:00,49.07,49.15,49.07,49.08,245
2025-08-03 08:28:00,49.08,49.17,49.08,49.17,4222
2025-08-03 08:29:00,49.16,49.16,49.1,49.16,566
2025-08-03 08:30:00,49.16,49.16,49.11,49.16,805
2025-08-03 08:31:00,49.16,49.17,49.16,49.17,152
2025-08-03 08:32:00,49.16,49.17,49.15,49.17,997
2025-08-03 08:33:00,49.15,49.17,49.15,49.17,150
2025-08-03 08:34:00,49.17,49.17,49.15,49.15,49
2025-08-03 08:35:00,49.17,49.17,49.15,49.15,414
2025-08-03 08:36:00,49.17,49.17,49.17,49.17,1199
2025-08-03 08:37:00,49.15,49.17,49.15,49.15,42
2025-08-03 08:38:00,49.11,49.15,49.11,49.13,29
2025-08-03 08:39:00,49.13,49.14,49.0,49.0,21080
2025-08-03 08:40:00,49.14,49.14,49.0,49.1,5199
2025-08-03 08:42:00,49.05,49.1,49.0,49.0,28282
2025-08-03 08:43:00,48.95,48.95,48.95,48.95,38
2025-08-03 08:44:00,49.0,49.0,48.95,49.0,1161
2025-08-03 08:45:00,49.0,49.0,49.0,49.0,3104
2025-08-03 08:46:00,48.96,49.0,48.95,49.0,1482
2025-08-03 08:47:00,48.95,49.0,48.95,49.0,482
2025-08-03 08:48:00,49.0,49.0,48.92,49.0,1439
2025-08-03 08:49:00,48.92,49.0,48.92,49.0,18
2025-08-03 08:50:00,49.0,49.1,49.0,49.1,2125
2025-08-03 08:51:00,48.94,49.0,48.92,49.0,373
2025-08-03 08:52:00,49.0,49.0,49.0,49.0,395
2025-08-03 08:53:00,49.0,49.0,48.93,48.93,558
2025-08-03 08:54:00,49.0,49.0,48.8,48.99,16665
2025-08-03 08:55:00,48.8,48.8,48.8,48.8,3175
2025-08-03 08:56:00,48.8,48.8,48.8,48.8,5792
2025-08-03 08:57:00,48.99,48.99,48.99,48.99,6
2025-08-03 08:58:00,48.81,48.99,48.81,48.99,2559
2025-08-03 08:59:00,48.99,49.0,48.99,49.0,1130
2025-08-03 09:00:00,49.0,49.0,48.99,49.0,5330
2025-08-03 09:01:00,49.0,49.0,49.0,49.0,4444
2025-08-03 09:02:00,48.95,49.0,48.95,49.0,351
2025-08-03 09:03:00,49.0,49.0,49.0,49.0,170
2025-08-03 09:04:00,49.0,49.0,48.95,49.0,3321
2025-08-03 09:05:00,48.95,48.96,48.95,48.96,53
2025-08-03 09:06:00,49.0,49.0,49.0,49.0,1473
2025-08-03 09:07:00,49.09,49.1,49.0,49.0,1188
2025-08-03 09:08:00,49.0,49.0,48.96,49.0,52
2025-08-03 09:09:00,49.0,49.0,49.0,49.0,8346
2025-08-03 09:10:00,48.96,49.0,48.96,49.0,997
2025-08-03 09:11:00,49.0,49.0,49.0,49.0,28
2025-08-03 09:12:00,48.99,48.99,48.96,48.96,252
2025-08-03 09:13:00,48.99,48.99,48.99,48.99,11
2025-08-03 09:14:00,48.98,48.99,48.96,48.96,141
2025-08-03 09:15:00,48.96,49.0,48.95,49.0,8317
2025-08-03 09:16:00,49.0,49.0,49.0,49.0,202
2025-08-03 09:17:00,48.94,48.94,48.8,48.8,9848
2025-08-03 09:18:00,48.8,48.8,48.79,48.79,366
2025-08-03 09:19:00,48.8,48.8,48.78,48.78,800
2025-08-03 09:20:00,48.94,48.94,48.8,48.8,2479
2025-08-03 09:21:00,48.81,48.96,48.81,48.95,1327
2025-08-03 09:22:00,48.82,48.94,48.8,48.83,4426
2025-08-03 09:23:00,48.83,48.94,48.83,48.94,205
2025-08-03 09:24:00,48.94,48.94,48.94,48.94,11
2025-08-03 09:25:00,48.94,48.94,48.81,48.81,2663
2025-08-03 09:26:00,48.94,48.98,48.94,48.98,1198
2025-08-03 09:27:00,48.81,48.98,48.81,48.98,524
2025-08-03 09:28:00,48.98,48.98,48.82,48.82,43
2025-08-03 09:29:00,48.82,48.82,48.82,48.82,226
2025-08-03 09:30:00,48.98,48.98,48.97,48.97,839
2025-08-03 09:31:00,48.83,48.83,48.83,48.83,46
2025-08-03 09:32:00,48.84,48.97,48.84,48.97,100
2025-08-03 09:33:00,48.97,48.97,48.83,48.83,5049
2025-08-03 09:34:00,48.85,48.96,48.85,48.96,739
2025-08-03 09:35:00,48.96,48.96,48.84,48.84,103
2025-08-03 09:36:00,48.84,48.84,48.84,48.84,1606
2025-08-03 09:37:00,48.96,48.98,48.96,48.98,3245
2025-08-03 09:38:00,48.98,49.0,48.98,49.0,66
2025-08-03 09:39:00,48.98,48.98,48.98,48.98,37
2025-08-03 09:40:00,49.0,49.0,48.85,48.86,2744
2025-08-03 09:41:00,48.98,49.0,48.86,48.98,3135
2025-08-03 09:42:00,49.0,49.0,48.99,48.99,8817
2025-08-03 09:43:00,48.99,48.99,48.98,48.99,4221
2025-08-03 09:44:00,48.99,48.99,48.99,48.99,2000
2025-08-03 09:45:00,48.99,48.99,48.99,48.99,91
2025-08-03 09:46:00,48.99,48.99,48.87,48.99,3931
2025-08-03 09:47:00,48.98,48.98,48.96,48.98,133
2025-08-03 09:48:00,48.98,48.99,48.98,48.99,2098
2025-08-03 09:49:00,48.99,48.99,48.9,48.99,214
2025-08-03 09:50:00,48.91,48.91,48.91,48.91,665
2025-08-03 09:51:00,48.92,49.1,48.92,49.1,18335
2025-08-03 09:53:00,49.01,49.14,49.01,49.14,642
2025-08-03 09:54:00,49.14,49.14,48.94,49.0,21262
2025-08-03 09:55:00,49.0,49.0,49.0,49.0,5500
2025-08-03 09:56:00,49.0,49.0,48.94,48.94,1036
2025-08-03 09:57:00,48.95,49.0,48.95,48.95,301
2025-08-03 09:58:00,48.95,49.0,48.95,49.0,10990
2025-08-03 10:00:00,49.0,49.0,48.95,49.0,5185
2025-08-03 10:01:00,48.96,49.0,48.96,49.0,4596
2025-08-03 10:02:00,49.0,49.0,48.96,49.0,5715
2025-08-03 10:03:00,49.1,49.14,49.1,49.14,136
2025-08-03 10:04:00,49.14,49.15,49.14,49.15,432
2025-08-03 10:05:00,49.15,49.15,49.0,49.15,2455
2025-08-03 10:06:00,49.14,49.14,49.02,49.1,1510
2025-08-03 10:07:00,49.1,49.14,49.02,49.02,2444
2025-08-03 10:08:00,49.02,49.02,49.02,49.02,50
2025-08-03 10:09:00,49.02,49.1,49.01,49.1,925
2025-08-03 10:10:00,49.1,49.1,49.1,49.1,140
2025-08-03 10:11:00,49.01,49.01,49.01,49.01,100
2025-08-03 10:12:00,49.01,49.01,48.96,49.0,5774
2025-08-03 10:13:00,49.0,49.0,49.0,49.0,48
2025-08-03 10:14:00,49.0,49.0,49.0,49.0,686
2025-08-03 10:15:00,49.0,49.0,48.96,49.0,2997
2025-08-03 10:16:00,49.0,49.0,48.96,49.0,17972
2025-08-03 10:17:00,49.0,49.0,48.96,49.0,816
2025-08-03 10:18:00,49.0,49.09,49.0,49.0,479
2025-08-03 10:20:00,49.09,49.09,49.09,49.09,16
2025-08-03 10:21:00,49.03,49.03,49.0,49.0,16762
2025-08-03 10:22:00,49.0,49.0,49.0,49.0,11396
2025-08-03 10:23:00,49.09,49.09,49.0,49.09,425
2025-08-03 10:24:00,49.09,49.09,49.09,49.09,16
2025-08-03 10:25:00,49.02,49.02,49.01,49.01,6916
2025-08-03 10:26:00,49.09,49.09,49.09,49.09,100
2025-08-03 10:27:00,49.14,49.15,49.1,49.1,471
2025-08-03 10:28:00,49.15,49.15,49.15,49.15,25
2025-08-03 10:29:00,49.1,49.15,49.1,49.15,2149
2025-08-03 10:30:00,49.15,49.15,49.0,49.15,4159
2025-08-03 10:31:00,49.19,49.19,49.19,49.19,127
2025-08-03 10:32:00,49.19,49.19,49.0,49.0,26410
2025-08-03 10:33:00,49.19,49.19,49.19,49.19,73
2025-08-03 10:34:00,49.19,49.19,49.19,49.19,1000
2025-08-03 10:35:00,49.19,49.19,49.19,49.19,35
2025-08-03 10:36:00,49.18,49.18,49.1,49.1,240
2025-08-03 10:37:00,49.17,49.17,49.0,49.0,26020
2025-08-03 10:38:00,49.14,49.14,49.14,49.14,310
2025-08-03 10:39:00,49.01,49.18,49.01,49.18,3577
2025-08-03 10:40:00,49.19,49.21,49.19,49.21,8622
2025-08-03 10:41:00,49.19,49.19,49.15,49.15,618
2025-08-03 10:43:00,49.19,49.19,49.19,49.19,88
2025-08-03 10:44:00,49.19,49.19,49.15,49.18,2317
2025-08-03 10:45:00,49.18,49.19,49.0,49.0,31908
2025-08-03 10:46:00,49.02,49.21,49.02,49.21,401
2025-08-03 10:47:00,49.15,49.15,49.01,49.15,26264
2025-08-03 10:48:00,49.15,49.18,49.15,49.18,6000
2025-08-03 10:49:00,49.18,49.18,49.1,49.1,6293
2025-08-03 10:50:00,49.17,49.2,49.1,49.2,357
2025-08-03 10:51:00,49.2,49.2,49.2,49.2,2136
2025-08-03 10:52:00,49.2,49.2,49.2,49.2,62
2025-08-03 10:53:00,49.2,49.22,49.1,49.22,824
2025-08-03 10:54:00,49.22,49.22,49.1,49.1,264
2025-08-03 10:55:00,49.2,49.25,49.2,49.25,26000
2025-08-03 10:56:00,49.25,49.29,49.14,49.14,4427
2025-08-03 10:57:00,49.29,49.4,49.29,49.4,12203
2025-08-03 10:58:00,49.39,49.5,49.39,49.5,36540
2025-08-03 10:59:00,49.5,49.95,49.5,49.95,51575
2025-08-03 11:00:00,49.7,49.9,49.7,49.9,6227
2025-08-03 11:01:00,49.85,49.88,49.51,49.79,1128
2025-08-03 11:02:00,49.51,49.7,49.51,49.7,136
2025-08-03 11:03:00,49.51,49.51,49.51,49.51,30
2025-08-03 11:04:00,49.65,49.87,49.65,49.87,24775
2025-08-03 11:05:00,49.77,49.85,49.77,49.84,736
2025-08-03 11:06:00,49.8,49.84,49.8,49.8,8053
2025-08-03 11:07:00,49.8,49.87,49.8,49.85,22743
2025-08-03 11:08:00,49.85,49.99,49.72,49.8,36121
2025-08-03 11:09:00,49.98,50.0,49.98,50.0,10278
2025-08-03 11:10:00,50.0,50.19,50.0,50.19,5950
2025-08-03 11:11:00,50.19,50.2,50.01,50.18,15669
2025-08-03 11:12:00,50.18,50.19,50.17,50.19,7364
2025-08-03 11:13:00,50.18,50.36,50.15,50.36,23313
2025-08-03 11:14:00,50.3,50.5,50.3,50.5,22350
